"Country","Year","FoodCode","FoodName","AgeClass","SourceAgeClass","Gender","Number_of_consumers","Consumers_Mean","Consumers_Median","Consumers_P05__g_day_","Consumers_P90__g_day_","Consumers_P95__g_day_","Consumers_P975__g_day_","Consumers_Standard_deviation__g_day_","Number_of_subjects","Total_Mean","Total_Median","Total_P05__g_day_","Total_P90__g_day_","Total_P95__g_day_","Total_P975__g_day_","Total_Standard_deviation__g_day_","Intake_Unit"
"France","2007","A021A","Pig other slaughtering products","Adults and Elderly","Very elderly","Male","1","0.14","0.14","0.14","-1","0.14","0.14","0","40","0","0","0","-1","0","0.14","0.02","g/kg.bw/day"
"France","2007","A021G","Pig trotters and feet","Adults and Elderly","Very elderly","Female","2","0.02","0.02","0.01","-1","0.02","0.02","0","44","0","0","0","-1","0","0.02","0","g/kg.bw/day"
"France","2007","A021G","Pig trotters and feet","Adults and Elderly","Very elderly","Male","1","0.01","0.01","0.01","-1","0.01","0.01","0","40","0","0","0","-1","0","0.01","0","g/kg.bw/day"
"France","2007","A01SN","Poultry fresh meat (muscle meat)","Adults and Elderly","Very elderly","Female","4","0.24","0.22","0.15","-1","0.35","0.36","0.1","44","0.02","0","0","-1","0.2","0.28","0.07","g/kg.bw/day"
"France","2007","A01SN","Poultry fresh meat (muscle meat)","Adults and Elderly","Very elderly","Male","11","0.32","0.29","0.09","-1","0.7","0.84","0.24","40","0.09","0","0","-1","0.38","0.48","0.19","g/kg.bw/day"
"France","2007","A01SP","Chicken fresh meat","Adults and Elderly","Very elderly","Female","17","0.37","0.23","0.04","-1","1.02","1.62","0.52","44","0.14","0","0","-1","0.62","0.72","0.36","g/kg.bw/day"
"France","2007","A01SP","Chicken fresh meat","Adults and Elderly","Very elderly","Male","23","0.45","0.28","0.03","-1","1.35","1.58","0.49","40","0.26","0.04","0","-1","1.35","1.37","0.44","g/kg.bw/day"
"France","2007","A01SQ","Turkey fresh meat","Adults and Elderly","Very elderly","Female","2","0.27","0.27","0.11","-1","0.42","0.43","0.24","44","0.01","0","0","-1","0","0.25","0.07","g/kg.bw/day"
"France","2007","A01SQ","Turkey fresh meat","Adults and Elderly","Very elderly","Male","5","0.26","0.17","0.04","-1","0.6","0.64","0.26","40","0.03","0","0","-1","0.25","0.42","0.12","g/kg.bw/day"
"France","2007","A01SR","Duck fresh meat","Adults and Elderly","Very elderly","Female","2","0.22","0.22","0.12","-1","0.32","0.32","0.15","44","0.01","0","0","-1","0","0.21","0.05","g/kg.bw/day"
"France","2014","A01CB","Mandarins and similar-","Infants and Toddlers","Toddlers","Female","9","3.38","2.82","0.5","-1","8.54","9.52","3.21","67","0.45","0","0","-1","3.93","4.84","1.61","g/kg.bw/day"
"France","2014","A01CB","Mandarins and similar-","Infants and Toddlers","Toddlers","Male","11","1.99","2.25","0.34","-1","3.91","3.97","1.37","72","0.3","0","0","-1","2.67","3.4","0.88","g/kg.bw/day"
"France","2014","A01CR","Oranges, sweet","Infants and Toddlers","Toddlers","Female","1","0.91","0.91","0.91","-1","0.91","0.91","0","67","0.01","0","0","-1","0","0","0.11","g/kg.bw/day"
"France","2014","A01CR","Oranges, sweet","Infants and Toddlers","Toddlers","Male","4","6.44","6.97","1.75","-1","10.4","10.43","4.52","72","0.36","0","0","-1","2.13","7.89","1.76","g/kg.bw/day"
"France","2014","A01HF","Dates","Infants and Toddlers","Toddlers","Female","1","0.48","0.48","0.48","-1","0.48","0.48","0","67","0.01","0","0","-1","0","0","0.06","g/kg.bw/day"
"France","2014","A01LC","Common banana","Infants and Toddlers","Toddlers","Female","18","2.19","1.92","0.39","-1","4.5","4.77","1.31","67","0.59","0","0","-1","3.3","3.99","1.18","g/kg.bw/day"
"France","2014","A01LC","Common banana","Infants and Toddlers","Toddlers","Male","25","2.93","2.44","0.85","-1","5.51","6.94","1.95","72","1.02","0","0","-1","4.64","5.49","1.8","g/kg.bw/day"
"France","2014","A0DQK","Common banana - paradisiaca cultivars","Infants and Toddlers","Toddlers","Female","1","0.88","0.88","0.88","-1","0.88","0.88","0","67","0.01","0","0","-1","0","0","0.11","g/kg.bw/day"
"France","2014","A01LF","Mangoes","Infants and Toddlers","Toddlers","Female","2","5.36","5.36","2.47","-1","8.25","8.41","4.55","67","0.16","0","0","-1","0","3.19","1.08","g/kg.bw/day"
"France","2014","A01LP","Pineapples","Infants and Toddlers","Toddlers","Female","1","1.46","1.46","1.46","-1","1.46","1.46","0","67","0.02","0","0","-1","0","0","0.18","g/kg.bw/day"
"France","2014","A01LP","Pineapples","Infants and Toddlers","Toddlers","Male","1","1.08","1.08","1.08","-1","1.08","1.08","0","72","0.01","0","0","-1","0","0","0.13","g/kg.bw/day"
"France","2014","A01JT","Kiwi fruits (green, red, yellow)","Infants and Toddlers","Toddlers","Female","2","1.48","1.48","0.58","-1","2.37","2.42","1.41","67","0.04","0","0","-1","0","0.8","0.31","g/kg.bw/day"
"France","2014","A01JT","Kiwi fruits (green, red, yellow)","Infants and Toddlers","Toddlers","Male","5","2.96","2.09","1.26","-1","5","5.02","1.85","72","0.21","0","0","-1","1.69","3.63","0.87","g/kg.bw/day"
"France","2014","A01DJ","Apples","Infants and Toddlers","Toddlers","Female","11","2.85","1.82","0.28","-1","7.83","9.42","3.11","67","0.47","0","0","-1","3.56","4.24","1.61","g/kg.bw/day"
"France","2014","A01DJ","Apples","Infants and Toddlers","Toddlers","Male","21","2.42","1.68","0.43","-1","6.11","6.81","1.86","72","0.71","0","0","-1","3.61","5.33","1.49","g/kg.bw/day"
"France","2014","A01DP","Pears","Infants and Toddlers","Toddlers","Female","2","4.01","4.01","3.73","-1","4.28","4.3","0.44","67","0.12","0","0","-1","0","3.8","0.69","g/kg.bw/day"
"France","2014","A01DP","Pears","Infants and Toddlers","Toddlers","Male","8","3.28","2.6","1.46","-1","6.25","6.67","1.92","72","0.36","0","0","-1","2.73","4.31","1.2","g/kg.bw/day"
"France","2014","A01GF","Apricots","Infants and Toddlers","Toddlers","Female","1","4.48","4.48","4.48","-1","4.48","4.48","0","67","0.07","0","0","-1","0","0","0.55","g/kg.bw/day"
"France","2014","A01GF","Apricots","Infants and Toddlers","Toddlers","Male","4","1.48","1.4","1.07","-1","1.98","2.02","0.44","72","0.08","0","0","-1","1.1","1.46","0.35","g/kg.bw/day"
"France","2014","A01GG","Cherries and similar-","Infants and Toddlers","Toddlers","Female","1","3.66","3.66","3.66","-1","3.66","3.66","0","67","0.05","0","0","-1","0","0","0.45","g/kg.bw/day"
"France","2014","A01GG","Cherries and similar-","Infants and Toddlers","Toddlers","Male","2","1","1","0.5","-1","1.5","1.53","0.79","72","0.03","0","0","-1","0","0.56","0.19","g/kg.bw/day"
"France","2014","A01GM","Common peaches","Infants and Toddlers","Toddlers","Male","3","2.99","3.76","1.23","-1","4.2","4.23","1.78","72","0.12","0","0","-1","0","3.2","0.67","g/kg.bw/day"
"France","2014","A031A","Processed cheese and spreads","Infants and Toddlers","Toddlers","Male","5","0.08","0.05","0.04","-1","0.15","0.15","0.05","72","0.01","0","0","-1","0.05","0.09","0.02","g/kg.bw/day"
"France","2014","A031D","Processed cheese wedges and similar","Infants and Toddlers","Toddlers","Female","24","0.86","0.62","0.38","-1","2.16","2.27","0.55","67","0.31","0","0","-1","1.23","1.98","0.52","g/kg.bw/day"
"France","2014","A031D","Processed cheese wedges and similar","Infants and Toddlers","Toddlers","Male","16","0.74","0.57","0.12","-1","1.72","2.42","0.71","72","0.16","0","0","-1","0.81","1.17","0.45","g/kg.bw/day"
"France","2014","A031C","Processed cheese, spreadable","Infants and Toddlers","Toddlers","Female","2","0.92","0.92","0.2","-1","1.63","1.67","1.13","67","0.03","0","0","-1","0","0.38","0.21","g/kg.bw/day"
"France","2014","A031C","Processed cheese, spreadable","Infants and Toddlers","Toddlers","Male","3","0.35","0.27","0.12","-1","0.63","0.65","0.29","72","0.01","0","0","-1","0","0.24","0.09","g/kg.bw/day"
"France","2014","A02SV","Firm/semi-hard cheese (gouda and edam type)","Infants and Toddlers","Toddlers","Female","12","1.18","0.92","0.52","-1","2.5","2.53","0.76","67","0.21","0","0","-1","1.07","2.31","0.55","g/kg.bw/day"
"France","2014","A02SV","Firm/semi-hard cheese (gouda and edam type)","Infants and Toddlers","Toddlers","Male","9","1.03","0.71","0.39","-1","2.23","2.43","0.74","72","0.13","0","0","-1","0.8","1.54","0.42","g/kg.bw/day"
"France","2014","A02TC","Cheese, beaufort","Infants and Toddlers","Toddlers","Male","1","0.21","0.21","0.21","-1","0.21","0.21","0","72","0","0","0","-1","0","0","0.02","g/kg.bw/day"
"France","2014","A02TJ","Cheese, cantal","Infants and Toddlers","Toddlers","Female","1","0.37","0.37","0.37","-1","0.37","0.37","0","67","0.01","0","0","-1","0","0","0.05","g/kg.bw/day"
"France","2014","A02TJ","Cheese, cantal","Infants and Toddlers","Toddlers","Male","1","0.21","0.21","0.21","-1","0.21","0.21","0","72","0","0","0","-1","0","0","0.02","g/kg.bw/day"
"France","2014","A02VA","Cheese, gouda","Infants and Toddlers","Toddlers","Female","4","0.49","0.16","0.08","-1","1.37","1.47","0.73","67","0.03","0","0","-1","0.1","0.17","0.19","g/kg.bw/day"
"France","2014","A02VA","Cheese, gouda","Infants and Toddlers","Toddlers","Male","6","0.12","0.08","0.04","-1","0.28","0.3","0.11","72","0.01","0","0","-1","0.05","0.14","0.04","g/kg.bw/day"
"France","2014","A02VQ","Cheese, mimolette","Infants and Toddlers","Toddlers","Female","1","0.61","0.61","0.61","-1","0.61","0.61","0","67","0.01","0","0","-1","0","0","0.07","g/kg.bw/day"
"France","2014","A02XF","Cheese, raclette","Infants and Toddlers","Toddlers","Female","1","2.54","2.54","2.54","-1","2.54","2.54","0","67","0.04","0","0","-1","0","0","0.31","g/kg.bw/day"
"France","2014","A02XF","Cheese, raclette","Infants and Toddlers","Toddlers","Male","1","0.54","0.54","0.54","-1","0.54","0.54","0","72","0.01","0","0","-1","0","0","0.06","g/kg.bw/day"
"France","2014","A02XH","Cheese, saint nectaire","Infants and Toddlers","Toddlers","Female","1","0.51","0.51","0.51","-1","0.51","0.51","0","67","0.01","0","0","-1","0","0","0.06","g/kg.bw/day"
"France","2014","A02XS","Cheese, tomme de savoie","Infants and Toddlers","Toddlers","Male","1","0.87","0.87","0.87","-1","0.87","0.87","0","72","0.01","0","0","-1","0","0","0.1","g/kg.bw/day"
"France","2014","A02YE","Hard cheese (cheddar, emmental type)","Infants and Toddlers","Toddlers","Female","3","0.69","0.6","0.49","-1","0.96","0.98","0.27","67","0.03","0","0","-1","0","0.58","0.15","g/kg.bw/day"
"France","2014","A02YE","Hard cheese (cheddar, emmental type)","Infants and Toddlers","Toddlers","Male","1","0.56","0.56","0.56","-1","0.56","0.56","0","72","0.01","0","0","-1","0","0","0.07","g/kg.bw/day"
"France","2014","A02YK","Cheese, cheddar","Infants and Toddlers","Toddlers","Female","6","0.34","0.32","0.15","-1","0.55","0.57","0.16","67","0.03","0","0","-1","0.32","0.4","0.11","g/kg.bw/day"
"France","2014","A02YK","Cheese, cheddar","Infants and Toddlers","Toddlers","Male","5","0.14","0.09","0.07","-1","0.26","0.27","0.09","72","0.01","0","0","-1","0.09","0.15","0.04","g/kg.bw/day"
"France","2014","A02YM","Cheese, emmental","Infants and Toddlers","Toddlers","Female","23","0.51","0.38","0.08","-1","1.14","1.23","0.39","67","0.17","0","0","-1","1","1.09","0.33","g/kg.bw/day"
"France","2007","A01SR","Duck fresh meat","Adults and Elderly","Very elderly","Male","4","0.32","0.29","0.1","-1","0.58","0.6","0.23","40","0.03","0","0","-1","0.29","0.43","0.12","g/kg.bw/day"
"France","2007","A0EYH","Mammals and birds meat","Adults and Elderly","Very elderly","Female","10","0.09","0.04","0","-1","0.31","0.39","0.14","44","0.02","0","0","-1","0.11","0.12","0.07","g/kg.bw/day"
"France","2007","A0EYH","Mammals and birds meat","Adults and Elderly","Very elderly","Male","15","0.06","0.03","0","-1","0.19","0.24","0.08","40","0.02","0","0","-1","0.14","0.16","0.06","g/kg.bw/day"
"France","2007","A01QV","Bovine fresh meat","Adults and Elderly","Very elderly","Female","3","0.27","0.22","0.18","-1","0.39","0.4","0.12","44","0.02","0","0","-1","0.2","0.27","0.07","g/kg.bw/day"
"France","2007","A01QV","Bovine fresh meat","Adults and Elderly","Very elderly","Male","5","0.24","0.23","0.16","-1","0.32","0.32","0.07","40","0.03","0","0","-1","0.26","0.3","0.08","g/kg.bw/day"
"France","2007","A01QX","Cow, ox or bull fresh meat","Adults and Elderly","Very elderly","Female","28","0.45","0.36","0.16","-1","0.91","1.03","0.26","44","0.28","0.28","0","-1","0.83","0.94","0.3","g/kg.bw/day"
"France","2007","A01QX","Cow, ox or bull fresh meat","Adults and Elderly","Very elderly","Male","27","0.47","0.39","0.18","-1","0.95","1.16","0.32","40","0.32","0.24","0","-1","0.95","0.97","0.35","g/kg.bw/day"
"France","2007","A049S","Bovine, minced meat","Adults and Elderly","Very elderly","Female","5","0.24","0.17","0.1","-1","0.46","0.48","0.17","44","0.03","0","0","-1","0.2","0.34","0.09","g/kg.bw/day"
"France","2007","A049S","Bovine, minced meat","Adults and Elderly","Very elderly","Male","3","0.16","0.16","0.12","-1","0.2","0.21","0.05","40","0.01","0","0","-1","0.15","0.18","0.04","g/kg.bw/day"
"France","2007","A0EYF","Mammals meat","Adults and Elderly","Very elderly","Male","1","0.46","0.46","0.46","-1","0.46","0.46","0","40","0.01","0","0","-1","0","0.46","0.07","g/kg.bw/day"
"France","2007","A01RG","Pig fresh meat","Adults and Elderly","Very elderly","Female","22","0.22","0.18","0.07","-1","0.46","0.5","0.12","44","0.11","0.07","0","-1","0.34","0.46","0.14","g/kg.bw/day"
"France","2007","A01RG","Pig fresh meat","Adults and Elderly","Very elderly","Male","25","0.23","0.18","0.11","-1","0.44","0.49","0.12","40","0.15","0.15","0","-1","0.43","0.45","0.15","g/kg.bw/day"
"France","2007","A01RQ","Rabbit fresh meat","Adults and Elderly","Very elderly","Female","9","0.25","0.19","0.1","-1","0.54","0.58","0.18","44","0.05","0","0","-1","0.28","0.44","0.13","g/kg.bw/day"
"France","2007","A01RQ","Rabbit fresh meat","Adults and Elderly","Very elderly","Male","4","0.24","0.26","0.08","-1","0.36","0.37","0.14","40","0.02","0","0","-1","0.26","0.31","0.08","g/kg.bw/day"
"France","2007","A026M","Liver based spreadable-textured specialities","Adults and Elderly","Very elderly","Female","10","0.12","0.08","0.01","-1","0.4","0.45","0.15","44","0.03","0","0","-1","0.12","0.28","0.09","g/kg.bw/day"
"France","2007","A026M","Liver based spreadable-textured specialities","Adults and Elderly","Very elderly","Male","15","0.1","0.08","0.01","-1","0.23","0.24","0.08","40","0.04","0","0","-1","0.18","0.23","0.07","g/kg.bw/day"
"France","2007","A026P","Pate, goose liver","Adults and Elderly","Very elderly","Female","1","0.09","0.09","0.09","-1","0.09","0.09","0","44","0","0","0","-1","0","0","0.01","g/kg.bw/day"
"France","2007","A026R","Pate, pork liver","Adults and Elderly","Very elderly","Female","2","0.13","0.13","0.06","-1","0.19","0.19","0.1","44","0.01","0","0","-1","0","0.12","0.03","g/kg.bw/day"
"France","2007","A023K","Cooked pork ham","Adults and Elderly","Very elderly","Female","36","0.25","0.18","0.04","-1","0.72","0.75","0.21","44","0.21","0.15","0","-1","0.69","0.73","0.21","g/kg.bw/day"
"France","2007","A023K","Cooked pork ham","Adults and Elderly","Very elderly","Male","29","0.22","0.16","0.05","-1","0.42","0.64","0.21","40","0.16","0.11","0","-1","0.4","0.46","0.2","g/kg.bw/day"
"France","2007","A04ND","Processed whole meat products","Adults and Elderly","Very elderly","Female","2","0.11","0.11","0.1","-1","0.12","0.12","0.02","44","0","0","0","-1","0","0.11","0.02","g/kg.bw/day"
"France","2007","A04ND","Processed whole meat products","Adults and Elderly","Very elderly","Male","3","0.21","0.17","0.12","-1","0.33","0.34","0.12","40","0.02","0","0","-1","0.15","0.23","0.06","g/kg.bw/day"
"France","2007","A032J","White sugar","Adults and Elderly","Very elderly","Female","37","0.11","0.09","0","-1","0.3","0.33","0.1","44","0.1","0.06","0","-1","0.29","0.33","0.1","g/kg.bw/day"
"France","2007","A032J","White sugar","Adults and Elderly","Very elderly","Male","33","0.06","0.05","0","-1","0.18","0.21","0.06","40","0.05","0.03","0","-1","0.18","0.19","0.06","g/kg.bw/day"
"France","2007","A032M","Brown sugar","Adults and Elderly","Very elderly","Female","2","0.09","0.09","0.07","-1","0.12","0.12","0.04","44","0","0","0","-1","0","0.09","0.02","g/kg.bw/day"
"France","2007","A032M","Brown sugar","Adults and Elderly","Very elderly","Male","2","0.1","0.1","0.09","-1","0.11","0.11","0.02","40","0","0","0","-1","0.08","0.1","0.02","g/kg.bw/day"
"France","2007","A033Z","Syrups","Adults and Elderly","Very elderly","Female","3","0.56","0.36","0.05","-1","1.2","1.25","0.66","44","0.04","0","0","-1","0.2","0.61","0.2","g/kg.bw/day"
"France","2007","A036K","Sorbet","Adults and Elderly","Very elderly","Female","3","0.22","0.19","0.12","-1","0.33","0.34","0.12","44","0.01","0","0","-1","0.15","0.23","0.06","g/kg.bw/day"
"France","2007","A036K","Sorbet","Adults and Elderly","Very elderly","Male","1","0.16","0.16","0.16","-1","0.16","0.16","0","40","0","0","0","-1","0","0.16","0.03","g/kg.bw/day"
"France","2007","A036J","Water-based ice creams","Adults and Elderly","Very elderly","Female","3","0.27","0.17","0.15","-1","0.45","0.46","0.18","44","0.02","0","0","-1","0.16","0.26","0.08","g/kg.bw/day"
"France","2007","A036J","Water-based ice creams","Adults and Elderly","Very elderly","Male","3","0.16","0.17","0.1","-1","0.22","0.23","0.07","40","0.01","0","0","-1","0.14","0.19","0.05","g/kg.bw/day"
"France","2007","A00GZ","Garlic","Adults and Elderly","Very elderly","Female","24","0.01","0","0","-1","0.02","0.02","0.01","44","0","0","0","-1","0.01","0.02","0.01","g/kg.bw/day"
"France","2007","A00GZ","Garlic","Adults and Elderly","Very elderly","Male","25","0.01","0","0","-1","0.02","0.03","0.01","40","0","0","0","-1","0.02","0.02","0.01","g/kg.bw/day"
"France","2007","A00HC","Onions","Adults and Elderly","Very elderly","Female","41","0.17","0.12","0.02","-1","0.48","0.49","0.14","44","0.16","0.11","0","-1","0.47","0.49","0.14","g/kg.bw/day"
"France","2007","A00HC","Onions","Adults and Elderly","Very elderly","Male","35","0.16","0.14","0.03","-1","0.4","0.45","0.12","40","0.14","0.1","0","-1","0.39","0.44","0.13","g/kg.bw/day"
"France","2007","A00HF","Shallots","Adults and Elderly","Very elderly","Female","5","0.01","0.01","0","-1","0.02","0.02","0.01","44","0","0","0","-1","0.01","0.02","0","g/kg.bw/day"
"France","2007","A00HF","Shallots","Adults and Elderly","Very elderly","Male","2","0.03","0.03","0.01","-1","0.05","0.05","0.03","40","0","0","0","-1","0.01","0.03","0.01","g/kg.bw/day"
"France","2007","A00FN","Broccoli","Adults and Elderly","Very elderly","Female","7","0.42","0.45","0.05","-1","0.78","0.8","0.29","44","0.07","0","0","-1","0.51","0.7","0.19","g/kg.bw/day"
"France","2007","A00FN","Broccoli","Adults and Elderly","Very elderly","Male","5","0.3","0.3","0.05","-1","0.61","0.64","0.25","40","0.04","0","0","-1","0.34","0.46","0.13","g/kg.bw/day"
"France","2007","A00FR","Cauliflowers","Adults and Elderly","Very elderly","Female","29","0.21","0.12","0.02","-1","0.46","0.81","0.3","44","0.14","0.05","0","-1","0.43","0.47","0.26","g/kg.bw/day"
"France","2007","A00FR","Cauliflowers","Adults and Elderly","Very elderly","Male","29","0.21","0.1","0.02","-1","0.79","1.02","0.27","40","0.15","0.07","0","-1","0.58","0.96","0.25","g/kg.bw/day"
"France","2007","A00JR","Courgettes","Adults and Elderly","Very elderly","Female","16","0.27","0.22","0.05","-1","0.5","0.6","0.18","44","0.1","0","0","-1","0.42","0.43","0.17","g/kg.bw/day"
"France","2007","A00JR","Courgettes","Adults and Elderly","Very elderly","Male","9","0.11","0.09","0.02","-1","0.22","0.22","0.08","40","0.02","0","0","-1","0.19","0.21","0.06","g/kg.bw/day"
"France","2007","A00KF","Melons","Adults and Elderly","Very elderly","Female","6","0.6","0.63","0.21","-1","1","1.03","0.33","44","0.08","0","0","-1","0.71","0.84","0.24","g/kg.bw/day"
"France","2014","A01GN","Nectarines","Infants and Toddlers","Toddlers","Female","4","3","2.04","1.55","-1","5.79","6.11","2.31","67","0.18","0","0","-1","1.7","2.1","0.87","g/kg.bw/day"
"France","2014","A01GN","Nectarines","Infants and Toddlers","Toddlers","Male","2","3.09","3.09","2.39","-1","3.8","3.84","1.11","72","0.09","0","0","-1","0","2.46","0.53","g/kg.bw/day"
"France","2014","A0DVK","Other hybrids of Persica vulgaris or Prunus persica, not elsewhere mentioned","Infants and Toddlers","Toddlers","Female","1","1.32","1.32","1.32","-1","1.32","1.32","0","67","0.02","0","0","-1","0","0","0.16","g/kg.bw/day"
"France","2014","A01GS","Mirabelles","Infants and Toddlers","Toddlers","Male","1","0.43","0.43","0.43","-1","0.43","0.43","0","72","0.01","0","0","-1","0","0","0.05","g/kg.bw/day"
"France","2014","A01GX","Gages","Infants and Toddlers","Toddlers","Male","1","1.8","1.8","1.8","-1","1.8","1.8","0","72","0.02","0","0","-1","0","0","0.21","g/kg.bw/day"
"France","2014","A01MA","Dried fruit","Infants and Toddlers","Toddlers","Female","1","1.21","1.21","1.21","-1","1.21","1.21","0","67","0.02","0","0","-1","0","0","0.15","g/kg.bw/day"
"France","2014","A01MB","Dried prunes","Infants and Toddlers","Toddlers","Female","1","0.35","0.35","0.35","-1","0.35","0.35","0","67","0.01","0","0","-1","0","0","0.04","g/kg.bw/day"
"France","2014","A01ME","Dried vine fruits (raisins etc.)","Infants and Toddlers","Toddlers","Female","1","0.06","0.06","0.06","-1","0.06","0.06","0","67","0","0","0","-1","0","0","0.01","g/kg.bw/day"
"France","2014","A01ME","Dried vine fruits (raisins etc.)","Infants and Toddlers","Toddlers","Male","3","0.19","0.17","0.1","-1","0.29","0.29","0.1","72","0.01","0","0","-1","0","0.16","0.04","g/kg.bw/day"
"France","2014","A01PD","Compote of fruit / vegetables","Infants and Toddlers","Toddlers","Female","7","3.27","2.69","1.99","-1","5.33","5.36","1.43","67","0.34","0","0","-1","2.73","4.25","1.1","g/kg.bw/day"
"France","2014","A01PD","Compote of fruit / vegetables","Infants and Toddlers","Toddlers","Male","3","3.78","3.51","3.41","-1","4.35","4.4","0.57","72","0.16","0","0","-1","0","3.49","0.77","g/kg.bw/day"
"France","2014","A01PF","Fruit compote, apple","Infants and Toddlers","Toddlers","Female","30","5.25","4.11","2.11","-1","9.96","10.46","2.97","67","2.35","0","0","-1","9.31","9.82","3.27","g/kg.bw/day"
"France","2014","A01PF","Fruit compote, apple","Infants and Toddlers","Toddlers","Male","34","6.26","6.05","2.43","-1","11.3","12.14","3.11","72","2.95","0","0","-1","10.31","11.29","3.79","g/kg.bw/day"
"France","2014","A01PG","Fruit compote, pear","Infants and Toddlers","Toddlers","Female","1","2.14","2.14","2.14","-1","2.14","2.14","0","67","0.03","0","0","-1","0","0","0.26","g/kg.bw/day"
"France","2014","A01PH","Fruit compote, apricot","Infants and Toddlers","Toddlers","Female","1","2.5","2.5","2.5","-1","2.5","2.5","0","67","0.04","0","0","-1","0","0","0.31","g/kg.bw/day"
"France","2014","A01PH","Fruit compote, apricot","Infants and Toddlers","Toddlers","Male","1","2.22","2.22","2.22","-1","2.22","2.22","0","72","0.03","0","0","-1","0","0","0.26","g/kg.bw/day"
"France","2014","A01PM","Fruit compote, peach","Infants and Toddlers","Toddlers","Female","1","2.26","2.26","2.26","-1","2.26","2.26","0","67","0.03","0","0","-1","0","0","0.28","g/kg.bw/day"
"France","2014","A01PM","Fruit compote, peach","Infants and Toddlers","Toddlers","Male","1","2.22","2.22","2.22","-1","2.22","2.22","0","72","0.03","0","0","-1","0","0","0.26","g/kg.bw/day"
"France","2014","A01PR","Fruit compote, mixed fruit","Infants and Toddlers","Toddlers","Female","26","4.63","5","1.79","-1","8.41","8.95","2.2","67","1.8","0","0","-1","6.89","7.86","2.64","g/kg.bw/day"
"France","2014","A01PR","Fruit compote, mixed fruit","Infants and Toddlers","Toddlers","Male","25","5.16","4.17","2.32","-1","11.15","15.17","3.92","72","1.79","0","0","-1","7.23","9.52","3.36","g/kg.bw/day"
"France","2014","A01MM","Jam of fruit / vegetables","Infants and Toddlers","Toddlers","Female","1","0.46","0.46","0.46","-1","0.46","0.46","0","67","0.01","0","0","-1","0","0","0.06","g/kg.bw/day"
"France","2014","A01MM","Jam of fruit / vegetables","Infants and Toddlers","Toddlers","Male","1","0.04","0.04","0.04","-1","0.04","0.04","0","72","0","0","0","-1","0","0","0","g/kg.bw/day"
"France","2014","A02YM","Cheese, emmental","Infants and Toddlers","Toddlers","Male","24","0.51","0.4","0.04","-1","1.4","1.43","0.42","72","0.17","0","0","-1","0.92","1.33","0.34","g/kg.bw/day"
"France","2014","A02YP","Cheese, gruyere","Infants and Toddlers","Toddlers","Female","12","0.42","0.19","0.09","-1","1.06","1.23","0.41","67","0.08","0","0","-1","0.65","0.75","0.23","g/kg.bw/day"
"France","2014","A02YP","Cheese, gruyere","Infants and Toddlers","Toddlers","Male","19","0.31","0.2","0.05","-1","0.72","0.91","0.27","72","0.08","0","0","-1","0.5","0.56","0.19","g/kg.bw/day"
"France","2014","A02ZH","Extra hard cheese (parmesan, grana type)","Infants and Toddlers","Toddlers","Female","2","0.11","0.11","0.09","-1","0.13","0.13","0.03","67","0","0","0","-1","0","0.09","0.02","g/kg.bw/day"
"France","2014","A02ZH","Extra hard cheese (parmesan, grana type)","Infants and Toddlers","Toddlers","Male","5","0.18","0.08","0.05","-1","0.48","0.52","0.22","72","0.01","0","0","-1","0.06","0.12","0.07","g/kg.bw/day"
"France","2014","A02ZM","Cheese, comte","Infants and Toddlers","Toddlers","Female","8","0.65","0.64","0.27","-1","1.3","1.46","0.43","67","0.08","0","0","-1","0.67","0.72","0.26","g/kg.bw/day"
"France","2014","A02ZM","Cheese, comte","Infants and Toddlers","Toddlers","Male","5","1.01","1.12","0.42","-1","1.38","1.39","0.44","72","0.07","0","0","-1","0.93","1.22","0.28","g/kg.bw/day"
"France","2014","A02ZS","Cheese, parmigiano reggiano","Infants and Toddlers","Toddlers","Female","3","0.18","0.14","0.06","-1","0.33","0.34","0.15","67","0.01","0","0","-1","0","0.13","0.05","g/kg.bw/day"
"France","2014","A02ZS","Cheese, parmigiano reggiano","Infants and Toddlers","Toddlers","Male","11","0.14","0.1","0.06","-1","0.33","0.36","0.1","72","0.02","0","0","-1","0.14","0.19","0.06","g/kg.bw/day"
"France","2014","A030F","Cheese, fourme d'ambert","Infants and Toddlers","Toddlers","Male","1","0.47","0.47","0.47","-1","0.47","0.47","0","72","0.01","0","0","-1","0","0","0.05","g/kg.bw/day"
"France","2014","A030H","Cheese, gorgonzola","Infants and Toddlers","Toddlers","Male","1","1.07","1.07","1.07","-1","1.07","1.07","0","72","0.01","0","0","-1","0","0","0.13","g/kg.bw/day"
"France","2014","A030K","Cheese, roquefort","Infants and Toddlers","Toddlers","Female","1","0.42","0.42","0.42","-1","0.42","0.42","0","67","0.01","0","0","-1","0","0","0.05","g/kg.bw/day"
"France","2014","A030K","Cheese, roquefort","Infants and Toddlers","Toddlers","Male","1","0.26","0.26","0.26","-1","0.26","0.26","0","72","0","0","0","-1","0","0","0.03","g/kg.bw/day"
"France","2014","A030S","Cheese, buche de chevre","Infants and Toddlers","Toddlers","Female","3","0.29","0.08","0.05","-1","0.67","0.7","0.39","67","0.01","0","0","-1","0","0.08","0.09","g/kg.bw/day"
